threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.999,0.9319999999999999,0.932,0.771875
0.998,0.9,0.896,0.774468085106383
0.997,0.897,0.869,0.7941176470588235
0.996,0.884,0.846,0.7908496732026143
0.995,0.893,0.872,0.8177570093457944
0.994,0.885,0.8775,0.8184480234260615
0.993,0.894,0.9055,0.8397711015736767
0.992,0.906,0.924,0.8587570621468926
0.991,0.91,0.909,0.8646408839779006
0.99,0.9,0.912,0.8584779706275033
0.989,0.906,0.9245,0.8705416116248349
0.988,0.8989999999999999,0.9239999999999999,0.8646907216494846
0.987,0.894,0.9295,0.8628930817610063
0.986,0.892,0.934,0.8635235732009925
0.985,0.894,0.9435,0.8668310727496916
0.984,0.897,0.9279999999999999,0.8695121951219512
0.983,0.888,0.8775,0.8574821852731591
0.982,0.896,0.8885,0.8669833729216152
0.981,0.896,0.8965000000000001,0.8689492325855962
0.98,0.901,0.906,0.8764705882352941
0.979,0.899,0.9075000000000001,0.8764568764568764
0.978,0.896,0.916,0.8764434180138568
0.977,0.9,0.9205000000000001,0.8791714614499425
0.976,0.905,0.9285,0.8864678899082569
0.975,0.907,0.9295000000000001,0.8901601830663616
0.974,0.91,0.9365000000000001,0.8939566704675029
0.973,0.908,0.941,0.8935447338618346
0.972,0.908,0.9185,0.8918918918918919
0.971,0.9129999999999999,0.899,0.8945005611672279
0.97,0.9129999999999999,0.903,0.896976483762598
0.969,0.9179999999999999,0.907,0.9014557670772677
0.968,0.9179999999999999,0.9079999999999999,0.9006696428571429
0.967,0.9189999999999999,0.914,0.9021134593993326
0.966,0.9199999999999999,0.9175,0.9046563192904655
0.965,0.9229999999999999,0.9255,0.9090909090909091
0.964,0.9209999999999999,0.9275,0.908489525909592
0.963,0.9249999999999999,0.932,0.9128996692392503
0.962,0.9249999999999999,0.9115,0.9101861993428257
0.961,0.9209999999999999,0.912,0.9074074074074073
0.96,0.9239999999999999,0.869,0.9068255687973997
0.959,0.9239999999999999,0.869,0.9071274298056154
0.958,0.9269999999999999,0.8719999999999999,0.9103671706263499
0.957,0.9259999999999999,0.8755,0.9087982832618025
0.956,0.9279999999999999,0.878,0.9120171673819741
0.955,0.9319999999999999,0.88,0.9152360515021458
0.954,0.9339999999999999,0.8835,0.917381974248927
0.953,0.9349999999999999,0.884,0.9184549356223175
0.952,0.934,0.8835000000000001,0.9186295503211991
0.951,0.936,0.8845000000000001,0.9207708779443254
0.95,0.9380000000000001,0.8605,0.9188900747065101
0.949,0.9410000000000001,0.865,0.9231590181430095
0.948,0.9420000000000001,0.8654999999999999,0.9242262540021344
0.947,0.9430000000000001,0.867,0.9252934898612593
0.946,0.9420000000000001,0.8694999999999999,0.924468085106383
0.945,0.9440000000000001,0.873,0.9265957446808512
0.944,0.9450000000000001,0.8734999999999999,0.9276595744680851
0.943,0.9430000000000001,0.8724999999999999,0.9257688229056205
0.942,0.9450000000000001,0.875,0.9278897136797456
0.941,0.9430000000000001,0.8755000000000001,0.926984126984127
0.94,0.9440000000000001,0.877,0.9291005291005292
0.939,0.9420000000000001,0.8775,0.9272151898734178
0.938,0.9430000000000001,0.881,0.9282700421940929
0.937,0.9450000000000001,0.882,0.9303797468354431
0.936,0.9460000000000001,0.8825000000000001,0.9314345991561181
0.935,0.9470000000000001,0.884,0.9324894514767933
0.934,0.9460000000000001,0.8835,0.9305993690851736
0.933,0.9460000000000001,0.8865,0.932702418506835
0.932,0.9490000000000001,0.8879999999999999,0.9348054679284964
0.931,0.9490000000000001,0.8879999999999999,0.9348054679284964
0.93,0.9520000000000001,0.8919999999999999,0.9390115667718192
0.929,0.9530000000000001,0.8939999999999999,0.9390115667718192
0.928,0.9520000000000001,0.895,0.9381551362683439
0.927,0.9530000000000001,0.8955000000000001,0.939203354297694
0.926,0.9530000000000001,0.8955000000000001,0.939203354297694
0.925,0.9550000000000001,0.9005,0.9423480083857443
0.924,0.9570000000000001,0.9015000000000001,0.9433962264150944
0.923,0.9550000000000001,0.9020000000000001,0.9435146443514645
