threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.99,1.0499999999999998,0.9219999999999999,1.1023999999999998
0.98,1.0470000000000002,0.9055000000000001,1.0894085281980743
0.97,1.046,0.9135,1.0777070063694267
0.96,1.045,0.925,1.0709914320685434
0.95,1.045,0.9435,1.0643623361144219
0.94,1.046,0.9425,1.0619158878504673
0.93,1.04,0.9609999999999999,1.0513698630136987
0.92,1.037,0.9620000000000001,1.0472972972972974
0.91,1.0379999999999998,0.9730000000000001,1.0457589285714286
0.9,1.036,0.976,1.0420353982300885
0.89,1.033,0.9784999999999999,1.0384193194291986
0.88,1.031,0.9830000000000001,1.0359869138495092
0.87,1.033,0.9715,1.0380021715526602
0.86,1.029,0.9695,1.035598705501618
0.85,1.028,0.9695,1.033190578158458
0.84,1.0270000000000001,0.9684999999999999,1.032017075773746
0.83,1.0270000000000001,0.9689999999999999,1.0319148936170213
0.82,1.025,0.968,1.0296610169491525
0.81,1.024,0.966,1.0296296296296297
0.8,1.021,0.9704999999999999,1.0263435194942045
0.79,1.021,0.9734999999999999,1.0252100840336136
0.78,1.02,0.974,1.0251836306400839
0.77,1.021,0.9694999999999999,1.0262054507337526
0.76,1.02,0.97,1.0251046025104602
0.75,1.018,0.9664999999999999,1.022964509394572
0.74,1.016,0.9705,1.0208116545265349
0.73,1.016,0.9730000000000001,1.019730010384216
0.72,1.016,0.9704999999999999,1.0218068535825546
0.71,1.017,0.9730000000000001,1.0196891191709845
0.7,1.017,0.973,1.020703933747412
0.69,1.016,0.9735,1.0206611570247934
0.68,1.0150000000000001,0.974,1.0185567010309278
0.67,1.013,0.9750000000000001,1.0175077239958805
0.66,1.012,0.9755,1.0164609053497942
0.65,1.0110000000000001,0.9760000000000001,1.015400410677618
0.64,1.01,0.9795,1.014344262295082
0.63,1.01,0.9795,1.014344262295082
0.62,1.009,0.9800000000000001,1.0133060388945752
0.61,1.009,0.98,1.0132924335378324
0.6,1.008,0.9790000000000001,1.0122574055158324
0.59,1.008,0.9790000000000001,1.0122448979591836
0.58,1.006,0.986,1.010183299389002
0.57,1.006,0.986,1.010183299389002
0.56,1.0070000000000001,0.9885,1.0091556459816886
0.55,1.0070000000000001,0.9885,1.0091556459816886
0.54,1.0070000000000001,0.984,1.0101729399796542
0.53,1.006,0.9844999999999999,1.0091370558375634
0.52,1.006,0.9844999999999999,1.0091370558375634
0.51,1.005,0.9849999999999999,1.0081135902636917
0.5,1.005,0.988,1.0081135902636917
0.49,1.006,0.9904999999999999,1.0070921985815602
0.48,1.005,0.991,1.0060728744939271
0.47,1.005,0.9915,1.006066734074823
0.46,1.005,0.9915,1.006066734074823
0.45,1.004,0.992,1.006066734074823
0.44,1.0030000000000001,0.9955,1.0040363269424823
0.43,1.004,0.995,1.0040363269424823
0.42,1.0030000000000001,0.9985,1.003024193548387
0.41,1.002,0.9944999999999999,1.0030211480362539
0.4,1.002,0.9944999999999999,1.0030211480362539
0.39,1.001,0.9949999999999999,1.0020120724346075
0.38,1.001,0.9949999999999999,1.0020120724346075
0.37,1.001,0.9904999999999999,1.0030181086519114
0.36,1.001,0.9904999999999999,1.0030181086519114
0.35,1.001,0.993,1.0020100502512563
0.34,1.001,0.9930000000000001,1.0030150753768845
0.33,1.001,0.9930000000000001,1.002008032128514
0.32,1.001,0.9930000000000001,1.002008032128514
0.31,1.001,0.9930000000000001,1.002008032128514
0.3,1.001,0.9905,1.002008032128514
0.29,1.0,0.991,1.002008032128514
0.28,1.001,0.9904999999999999,1.0030120481927711
0.27,1.001,0.9904999999999999,1.0030120481927711
0.26,1.001,0.9904999999999999,1.0030120481927711
0.25,1.001,0.9904999999999999,1.0030120481927711
0.24,1.0,0.9909999999999999,1.0020060180541626
0.23,1.0,0.9909999999999999,1.0020060180541626
0.22,1.0,0.9909999999999999,1.0020060180541626
0.21,1.0,0.9909999999999999,1.0020060180541626
0.2,1.0,0.9909999999999999,1.001002004008016
0.19,1.0,0.9909999999999999,1.001002004008016
0.18,1.0,0.9909999999999999,1.001002004008016
0.17,1.0,0.9909999999999999,1.001002004008016
0.16,1.0,0.9909999999999999,1.001002004008016
0.15,0.999,0.9944999999999999,1.0
0.14,0.999,0.9944999999999999,1.0
0.13,0.999,0.9944999999999999,1.0
0.12,0.999,0.9944999999999999,1.0
0.11,0.999,0.9995,0.999
0.1,1.0,1.0,1.0
0.09,1.0,1.0,1.0
0.08,1.0,1.0,1.0
0.07,1.0,1.0,1.0
0.06,1.0,1.0,1.0
0.05,1.0,1.0,1.0
0.04,1.0,1.0,1.0
0.03,1.0,1.0,1.0
0.02,1.0,1.0,1.0
0.01,1.0,1.0,1.0
0.0,1.0,1.0,1.0
