threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.999,1.018,0.9795,1.1063829787234043
0.998,1.026,0.9775,1.096317280453258
0.997,1.035,0.9605,1.1060240963855423
0.996,1.037,0.942,1.1053763440860214
0.995,1.041,0.9415,1.1051587301587302
0.994,1.046,0.9385,1.1082089552238805
0.993,1.0430000000000001,0.9329999999999999,1.1008849557522125
0.992,1.044,0.9215,1.100854700854701
0.991,1.042,0.9155,1.0976821192052981
0.99,1.035,0.925,1.0810810810810811
0.989,1.031,0.923,1.0727554179566563
0.988,1.0310000000000001,0.932,1.0694864048338368
0.987,1.036,0.9390000000000001,1.073025335320417
0.986,1.038,0.9400000000000001,1.0751104565537555
0.985,1.036,0.9415,1.0711175616835995
0.984,1.0350000000000001,0.9335,1.0702005730659025
0.983,1.036,0.9345,1.0706214689265536
0.982,1.034,0.9285000000000001,1.0684357541899443
0.981,1.034,0.9245,1.0676795580110499
0.98,1.033,0.9289999999999999,1.0655737704918034
0.979,1.0350000000000001,0.9229999999999999,1.0692934782608696
0.978,1.037,0.9229999999999999,1.0714285714285714
0.977,1.038,0.927,1.0710455764075069
0.976,1.037,0.928,1.0677290836653388
0.975,1.037,0.931,1.0671936758893281
0.974,1.037,0.9320000000000002,1.065359477124183
0.973,1.039,0.9315,1.0677083333333333
0.972,1.036,0.937,1.063225806451613
0.971,1.0339999999999998,0.9265,1.0614596670934697
0.97,1.036,0.929,1.0637755102040816
0.969,1.037,0.9285000000000001,1.0634517766497462
0.968,1.0390000000000001,0.9275,1.0670886075949366
0.967,1.04,0.9299999999999999,1.0666666666666667
0.966,1.04,0.9329999999999999,1.065
0.965,1.04,0.9359999999999999,1.0648379052369077
0.964,1.041,0.931,1.067247820672478
0.963,1.041,0.9284999999999999,1.0671641791044775
0.962,1.036,0.9265000000000001,1.0617283950617282
0.961,1.036,0.9325,1.0601965601965602
0.96,1.037,0.9299999999999999,1.0625766871165645
0.959,1.0350000000000001,0.9365000000000001,1.0585365853658537
0.958,1.037,0.9355,1.0608272506082725
0.957,1.04,0.9319999999999999,1.0631067961165048
0.956,1.038,0.9339999999999999,1.0604594921402661
0.955,1.0390000000000001,0.9425,1.0590361445783134
0.954,1.0390000000000001,0.9455,1.0601684717208184
0.953,1.0390000000000001,0.943,1.0575539568345325
0.952,1.036,0.9445,1.054958183990442
0.951,1.0350000000000001,0.9495,1.0523186682520809
0.95,1.037,0.9545000000000001,1.0533807829181494
0.949,1.036,0.955,1.0520710059171599
0.948,1.037,0.9570000000000001,1.051948051948052
0.947,1.037,0.957,1.0530660377358492
0.946,1.041,0.9589999999999999,1.055294117647059
0.945,1.04,0.9594999999999999,1.0552291421856639
0.944,1.0390000000000001,0.9549999999999998,1.0539273153575617
0.943,1.038,0.9564999999999999,1.0526315789473684
0.942,1.037,0.957,1.0513418903150527
0.941,1.0350000000000001,0.9585,1.05
0.94,1.038,0.9525,1.0534883720930233
0.939,1.038,0.95,1.0522041763341068
0.938,1.038,0.9475,1.0532407407407407
0.937,1.036,0.954,1.04959630911188
0.936,1.0350000000000001,0.9545,1.048331415420023
0.935,1.036,0.954,1.0506329113924051
0.934,1.0350000000000001,0.9544999999999999,1.0470183486238533
0.933,1.036,0.952,1.0504587155963303
0.932,1.036,0.952,1.0504009163802979
0.931,1.036,0.9494999999999999,1.0502857142857143
0.93,1.0350000000000001,0.95,1.0490307867730901
0.929,1.0350000000000001,0.956,1.0477815699658704
0.928,1.034,0.9564999999999999,1.0477815699658704
0.927,1.0350000000000001,0.956,1.0477272727272728
0.926,1.0350000000000001,0.954,1.0488081725312146
0.925,1.0350000000000001,0.954,1.0488081725312146
0.924,1.0350000000000001,0.9569999999999999,1.0476190476190477
0.923,1.036,0.957,1.0475113122171946
0.922,1.034,0.964,1.0462753950338601
0.921,1.034,0.964,1.045045045045045
0.92,1.033,0.9600000000000001,1.044994375703037
0.919,1.0339999999999998,0.9595,1.046119235095613
0.918,1.032,0.9605,1.043771043771044
0.917,1.032,0.9610000000000001,1.0425531914893618
0.916,1.031,0.9655,1.041340782122905
0.915,1.032,0.9625,1.0424107142857144
0.914,1.033,0.962,1.0435267857142858
0.913,1.0339999999999998,0.9615,1.0435267857142858
0.912,1.0339999999999998,0.9615000000000001,1.0434782608695652
0.911,1.036,0.9605,1.0457079152731326
0.91,1.036,0.9605,1.0457079152731326
0.909,1.035,0.9610000000000001,1.0445434298440979
0.908,1.0339999999999998,0.9615,1.0433333333333332
0.907,1.0339999999999998,0.9595,1.0444444444444443
0.906,1.033,0.9600000000000002,1.0432852386237512
0.905,1.033,0.9660000000000002,1.0409745293466224
0.904,1.032,0.9640000000000001,1.040929203539823
0.903,1.032,0.964,1.0408839779005523
0.902,1.033,0.9635,1.0408839779005523
0.901,1.032,0.9665000000000001,1.0396912899669237
0.9,1.032,0.9665000000000001,1.0407938257993383
0.899,1.032,0.9665,1.040748898678414
0.898,1.033,0.9660000000000001,1.0407040704070407
0.897,1.033,0.9660000000000002,1.0406593406593405
0.896,1.032,0.9665000000000001,1.040614709110867
0.895,1.032,0.9665000000000001,1.040614709110867
0.894,1.032,0.9665,1.040614709110867
0.893,1.032,0.964,1.040614709110867
0.892,1.031,0.9645,1.0405701754385963
0.891,1.032,0.9570000000000001,1.0416666666666665
0.89,1.0299999999999998,0.9560000000000001,1.0393873085339167
0.889,1.0299999999999998,0.9560000000000001,1.0404814004376366
0.888,1.031,0.9555,1.0404814004376366
0.887,1.0299999999999998,0.9590000000000001,1.0404371584699452
0.886,1.029,0.9595,1.039301310043668
0.885,1.0299999999999998,0.9590000000000001,1.039301310043668
0.884,1.0299999999999998,0.9590000000000001,1.039301310043668
0.883,1.0299999999999998,0.9565000000000001,1.0403930131004366
0.882,1.0299999999999998,0.9565,1.0392584514721919
0.881,1.029,0.9570000000000001,1.0392156862745097
0.88,1.029,0.9570000000000001,1.0392156862745097
0.879,1.0299999999999998,0.9565,1.0392156862745097
0.878,1.0299999999999998,0.9565,1.0403050108932461
0.877,1.0299999999999998,0.9565,1.0403050108932461
0.876,1.0299999999999998,0.9545,1.0403050108932461
0.875,1.029,0.9550000000000001,1.0391730141458106
0.874,1.0299999999999998,0.9545000000000001,1.0402611534276387
0.873,1.0299999999999998,0.9545000000000001,1.0402611534276387
0.872,1.0299999999999998,0.9545000000000001,1.0402173913043478
0.871,1.0299999999999998,0.9545000000000001,1.0402173913043478
0.87,1.0299999999999998,0.9545000000000001,1.0402173913043478
0.869,1.0299999999999998,0.9550000000000001,1.0390879478827362
0.868,1.028,0.9535,1.0390455531453362
0.867,1.028,0.9535,1.0390455531453362
0.866,1.028,0.9490000000000001,1.0401301518438177
0.865,1.028,0.9490000000000001,1.0401301518438177
0.864,1.028,0.9550000000000001,1.0390032502708557
0.863,1.029,0.9545000000000001,1.0378787878787878
0.862,1.0270000000000001,0.9555,1.0367567567567566
0.861,1.0270000000000001,0.9555,1.0367567567567566
0.86,1.0270000000000001,0.9555,1.0367567567567566
0.859,1.0270000000000001,0.9554999999999999,1.036717062634989
0.858,1.0270000000000001,0.9554999999999999,1.036717062634989
0.857,1.0270000000000001,0.9554999999999999,1.036717062634989
0.856,1.0270000000000001,0.9554999999999999,1.035598705501618
0.855,1.026,0.956,1.035560344827586
0.854,1.026,0.9535,1.0366379310344827
0.853,1.025,0.954,1.0355220667384284
0.852,1.025,0.954,1.0355220667384284
0.851,1.025,0.954,1.0344086021505376
0.85,1.025,0.954,1.0344086021505376
0.849,1.025,0.96,1.033297529538131
0.848,1.025,0.96,1.033297529538131
0.847,1.025,0.96,1.033297529538131
0.846,1.026,0.9594999999999999,1.0343716433941996
0.845,1.026,0.9574999999999999,1.0343716433941996
0.844,1.025,0.9634999999999999,1.0321543408360128
0.843,1.025,0.9609999999999999,1.0332261521972133
0.842,1.025,0.964,1.0321199143468949
0.841,1.026,0.9635,1.0321199143468949
0.84,1.026,0.9635,1.033190578158458
0.839,1.026,0.9664999999999999,1.033190578158458
0.838,1.0270000000000001,0.9634999999999999,1.0342612419700212
0.837,1.026,0.964,1.0331550802139036
0.836,1.026,0.964,1.0331550802139036
0.835,1.026,0.964,1.0331550802139036
0.834,1.0270000000000001,0.9614999999999999,1.0342245989304812
0.833,1.0270000000000001,0.9615,1.034188034188034
0.832,1.026,0.962,1.0330843116328707
0.831,1.026,0.9595,1.0341515474919956
0.83,1.0270000000000001,0.962,1.0341515474919956
0.829,1.025,0.963,1.033013844515442
0.828,1.025,0.963,1.033013844515442
0.827,1.026,0.9624999999999999,1.033013844515442
0.826,1.026,0.9654999999999999,1.0319148936170213
