threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.99,0.9199999999999999,0.9139999999999999,0.8803030303030303
0.98,0.9339999999999999,0.9685,0.9231770833333333
0.97,0.9510000000000001,0.9420000000000001,0.9392466585662212
0.96,0.947,0.9404999999999999,0.9381563593932323
0.95,0.958,0.9585,0.9533560864618885
0.94,0.956,0.9490000000000001,0.9508928571428571
0.93,0.955,0.971,0.9537444933920705
0.92,0.961,0.9634999999999999,0.9585152838427947
0.91,0.971,0.9595,0.9686147186147186
0.9,0.9740000000000001,0.9540000000000001,0.9688841201716738
0.89,0.9750000000000001,0.9455,0.9701492537313434
0.88,0.9770000000000001,0.9515000000000001,0.9724284199363734
0.87,0.9810000000000001,0.952,0.9756871035940804
0.86,0.983,0.9615,0.9789473684210527
0.85,0.986,0.96,0.9821802935010483
0.84,0.99,0.975,0.9874608150470219
0.83,0.989,0.9794999999999999,0.9885535900104058
0.82,0.99,0.9869999999999999,0.9896265560165975
0.81,0.99,0.984,0.9896587383660806
0.8,0.991,0.9814999999999999,0.9896694214876033
0.79,0.994,0.98,0.9917525773195877
0.78,0.994,0.9784999999999999,0.9917695473251029
0.77,0.995,0.9775,0.9928057553956835
0.76,0.995,0.9744999999999999,0.9928205128205129
0.75,0.997,0.9755,0.9938587512794268
0.74,0.998,0.9715,0.9938650306748467
0.73,0.998,0.9715,0.9948875255623721
0.72,1.001,0.973,0.9969356486210419
0.71,1.002,0.9720000000000001,0.9979591836734694
0.7,1.0,0.9710000000000001,0.9969418960244648
0.69,1.0,0.9805,0.9969450101832994
0.68,1.0,0.9790000000000001,0.9969481180061037
0.67,1.0,0.9790000000000001,0.9969481180061037
0.66,0.999,0.9785000000000001,0.9959349593495935
0.65,0.998,0.9720000000000001,0.9949238578680203
0.64,1.0,0.973,0.9969543147208122
0.63,1.0,0.9824999999999999,0.9979736575481256
0.62,0.999,0.99,0.9989868287740629
0.61,0.999,0.9870000000000001,0.9979757085020243
0.6,1.001,0.988,1.0
0.59,1.001,0.988,1.0
0.58,1.0,0.9974999999999999,1.0
0.57,1.0,0.9974999999999999,1.0
0.56,1.001,0.998,1.0010090817356205
0.55,1.0,0.9975,1.0
0.54,1.0,0.9975,1.0
0.53,1.001,0.998,1.001008064516129
0.52,1.001,0.998,1.001008064516129
0.51,1.0,0.9974999999999999,1.0
0.5,1.002,0.9985,1.001007049345418
0.49,1.0030000000000001,0.999,1.0030211480362539
0.48,1.002,0.9984999999999999,1.0030211480362539
0.47,1.004,0.9994999999999999,1.0030181086519114
0.46,1.004,0.9994999999999999,1.0030181086519114
0.45,1.004,0.9994999999999999,1.0030181086519114
0.44,1.004,0.9910000000000001,1.0050301810865192
0.43,1.004,0.9844999999999999,1.0060362173038229
0.42,1.004,0.9844999999999999,1.0060362173038229
0.41,1.004,0.9844999999999999,1.0050251256281406
0.4,1.0030000000000001,0.988,1.0050251256281406
0.39,1.0030000000000001,0.988,1.0050251256281406
0.38,1.0030000000000001,0.988,1.0040160642570282
0.37,1.0030000000000001,0.988,1.0040160642570282
0.36,1.0030000000000001,0.9895,1.0040160642570282
0.35,1.0030000000000001,0.991,1.0040160642570282
0.34,1.002,0.9915,1.0030090270812437
0.33,1.002,0.9915,1.0030090270812437
0.32,1.002,0.9915,1.0030090270812437
0.31,1.002,0.9915,1.0030090270812437
0.3,1.002,0.993,1.0030090270812437
0.29,1.002,0.993,1.0030090270812437
0.28,1.002,0.993,1.0030090270812437
0.27,1.002,0.9944999999999999,1.002004008016032
0.26,1.002,0.9944999999999999,1.002004008016032
0.25,1.002,0.9944999999999999,1.002004008016032
0.24,1.001,0.995,1.001001001001001
0.23,1.001,0.995,1.001001001001001
0.22,1.001,0.995,1.001001001001001
0.21,1.001,0.995,1.001001001001001
0.2,1.001,0.995,1.001001001001001
0.19,1.001,0.995,1.001001001001001
0.18,1.001,0.995,1.001001001001001
0.17,1.001,0.995,1.001001001001001
0.16,1.001,0.998,1.001001001001001
0.15,1.001,0.998,1.001001001001001
0.14,1.001,0.998,1.001001001001001
0.13,1.001,0.998,1.001001001001001
0.12,1.001,0.998,1.001001001001001
0.11,1.001,0.998,1.001001001001001
0.1,1.0,0.9984999999999999,1.0
0.09,1.0,0.9984999999999999,1.0
0.08,1.0,0.9984999999999999,1.0
0.07,1.0,0.9984999999999999,1.0
0.06,1.0,1.0,1.0
0.05,1.0,1.0,1.0
0.04,1.0,1.0,1.0
0.03,1.0,1.0,1.0
0.02,1.0,1.0,1.0
0.01,1.0,1.0,1.0
0.0,1.0,1.0,1.0
