threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.999,0.947,0.9575,0.8069498069498069
0.998,0.9339999999999999,0.9259999999999999,0.8267716535433071
0.997,0.925,0.936,0.84
0.996,0.9079999999999999,0.9279999999999999,0.8280632411067194
0.995,0.902,0.9125000000000001,0.8248175182481752
0.994,0.894,0.9095,0.823327615780446
0.993,0.892,0.9385,0.8360655737704918
0.992,0.892,0.936,0.8410174880763116
0.991,0.8929999999999999,0.937,0.8472222222222222
0.99,0.898,0.9415,0.8584337349397589
0.989,0.898,0.9535,0.8645066273932253
0.988,0.909,0.956,0.8798842257597685
0.987,0.903,0.9660000000000001,0.878186968838527
0.986,0.902,0.9595,0.8772663877266388
0.985,0.902,0.9505,0.8756906077348067
0.984,0.906,0.9645,0.8840381991814461
0.983,0.905,0.9565000000000001,0.8842530282637955
0.982,0.908,0.9725,0.8918558077436582
0.981,0.905,0.9620000000000001,0.8877146631439895
0.98,0.9139999999999999,0.959,0.8979057591623038
0.979,0.9259999999999999,0.973,0.9141742522756826
0.978,0.9249999999999999,0.9955,0.9188144329896907
0.977,0.9209999999999999,0.9904999999999999,0.9130434782608695
0.976,0.9219999999999999,0.985,0.9151898734177214
0.975,0.925,0.9864999999999999,0.9193954659949621
0.974,0.921,0.9785,0.912609238451935
0.973,0.92,0.9720000000000001,0.911910669975186
0.972,0.919,0.967,0.911001236093943
0.971,0.925,0.9655,0.9164619164619165
0.97,0.928,0.9625,0.91921664626683
0.969,0.928,0.9610000000000001,0.9196102314250915
0.968,0.927,0.959,0.9174757281553398
0.967,0.931,0.955,0.9226118500604595
0.966,0.933,0.9530000000000001,0.9253910950661853
0.965,0.936,0.9470000000000001,0.925748502994012
0.964,0.936,0.944,0.9261025029797378
0.963,0.933,0.9395,0.9240806642941874
0.962,0.933,0.9560000000000001,0.9255319148936171
0.961,0.932,0.9525,0.9234393404004712
0.96,0.934,0.9444999999999999,0.9260563380281691
0.959,0.934,0.9445,0.9251461988304094
0.958,0.9380000000000001,0.945,0.9299883313885648
0.957,0.9369999999999999,0.94,0.9292343387470998
0.956,0.942,0.9410000000000001,0.9340277777777779
0.955,0.945,0.9424999999999999,0.9376443418013858
0.954,0.946,0.9510000000000001,0.9412442396313363
0.953,0.948,0.952,0.9413118527042578
0.952,0.952,0.9540000000000001,0.9471264367816091
0.951,0.95,0.9530000000000001,0.944954128440367
0.95,0.948,0.9615,0.9439359267734553
0.949,0.946,0.9575,0.9418472063854048
0.948,0.944,0.9565000000000001,0.9397042093287826
0.947,0.947,0.9565,0.9420454545454545
0.946,0.948,0.954,0.9443813847900113
0.945,0.949,0.9515,0.9433748584371461
0.944,0.947,0.9505000000000001,0.9423076923076923
0.943,0.949,0.9515,0.9446327683615818
0.942,0.949,0.9500000000000001,0.9447576099210823
0.941,0.948,0.9480000000000001,0.9436936936936936
0.94,0.948,0.9575,0.9438202247191011
0.939,0.947,0.9670000000000001,0.9450056116722783
0.938,0.946,0.9635,0.9428891377379619
0.937,0.944,0.9624999999999999,0.9418994413407821
0.936,0.944,0.9624999999999999,0.9418994413407821
0.935,0.943,0.9715,0.9430803571428571
0.934,0.943,0.9714999999999999,0.9420935412026725
0.933,0.943,0.9685,0.9421579532814237
0.932,0.95,0.972,0.9488888888888889
0.931,0.95,0.972,0.9488888888888889
0.93,0.949,0.9795,0.9490586932447397
0.929,0.949,0.978,0.9502212389380531
0.928,0.954,0.979,0.9546961325966851
0.927,0.953,0.9785,0.9536423841059603
0.926,0.952,0.978,0.9525909592061742
0.925,0.956,0.976,0.9559471365638766
0.924,0.958,0.977,0.9571428571428571
0.923,0.956,0.9854999999999999,0.9582875960482985
0.922,0.957,0.986,0.9583333333333333
0.921,0.957,0.986,0.9583789704271631
0.92,0.956,0.9824999999999999,0.9562841530054644
0.919,0.956,0.9824999999999999,0.9574235807860262
0.918,0.958,0.9804999999999999,0.9596510359869138
0.917,0.958,0.979,0.9586507072905331
0.916,0.957,0.977,0.9576086956521739
0.915,0.956,0.9765,0.9565689467969598
0.914,0.956,0.9765,0.9565689467969598
0.913,0.957,0.9755,0.9566160520607375
0.912,0.956,0.9750000000000001,0.9555796316359696
0.911,0.961,0.9744999999999999,0.9609967497291441
0.91,0.961,0.9744999999999999,0.9609967497291441
0.909,0.961,0.973,0.9609967497291441
0.908,0.961,0.9729999999999999,0.961038961038961
0.907,0.963,0.9834999999999999,0.9642857142857143
0.906,0.963,0.982,0.9643243243243242
0.905,0.963,0.9805,0.9632829373650108
0.904,0.9640000000000001,0.981,0.9644012944983819
0.903,0.9630000000000001,0.9804999999999999,0.9644012944983819
0.902,0.9630000000000001,0.979,0.9633620689655172
0.901,0.9630000000000001,0.9775,0.9633620689655172
0.9,0.9620000000000001,0.977,0.9633620689655172
0.899,0.9620000000000001,0.984,0.9623655913978494
0.898,0.9610000000000001,0.9835,0.9623655913978494
0.897,0.9630000000000001,0.9845,0.9645542427497314
0.896,0.9620000000000001,0.984,0.963519313304721
0.895,0.9620000000000001,0.9825,0.962486602357985
0.894,0.9620000000000001,0.9824999999999999,0.9635584137191854
0.893,0.9620000000000001,0.981,0.9635584137191854
0.892,0.9640000000000001,0.9805000000000001,0.9646680942184154
0.891,0.9640000000000001,0.9805,0.9657387580299786
0.89,0.9640000000000001,0.9790000000000001,0.9647058823529412
0.889,0.9640000000000001,0.9790000000000001,0.9647058823529412
0.888,0.9630000000000001,0.9770000000000001,0.9636752136752137
0.887,0.9620000000000001,0.9765000000000001,0.9626467449306296
0.886,0.9640000000000001,0.9775000000000001,0.9637139807897545
0.885,0.9640000000000001,0.9775000000000001,0.9637139807897545
0.884,0.9640000000000001,0.9775000000000001,0.9637139807897545
0.883,0.9630000000000001,0.9770000000000001,0.9637139807897545
0.882,0.9630000000000001,0.9770000000000001,0.9648187633262261
0.881,0.9630000000000001,0.9770000000000001,0.9648187633262261
0.88,0.9650000000000001,0.978,0.964856230031949
0.879,0.9640000000000001,0.9775,0.9638297872340427
0.878,0.9650000000000001,0.9765,0.9659574468085107
0.877,0.9670000000000001,0.9775,0.967056323060574
0.876,0.9700000000000001,0.9790000000000001,0.9702444208289055
0.875,0.9690000000000001,0.9785000000000001,0.9692144373673037
0.874,0.9710000000000001,0.9765,0.9713375796178345
0.873,0.9700000000000001,0.9760000000000001,0.9703075291622483
0.872,0.9700000000000001,0.9760000000000001,0.9703075291622483
0.871,0.9730000000000001,0.9775,0.9724284199363734
0.87,0.9730000000000001,0.9745,0.9724284199363734
0.869,0.9730000000000001,0.9730000000000001,0.9713983050847459
0.868,0.9730000000000001,0.9730000000000001,0.9713983050847459
0.867,0.9720000000000001,0.9725,0.9713983050847459
0.866,0.9730000000000001,0.9715000000000001,0.9724867724867726
0.865,0.9750000000000001,0.9725000000000001,0.9735449735449736
0.864,0.9750000000000001,0.9725000000000001,0.9735449735449736
0.863,0.9750000000000001,0.9725000000000001,0.9735449735449736
0.862,0.9760000000000001,0.9715000000000001,0.9746300211416491
0.861,0.9760000000000001,0.9715000000000001,0.9746568109820487
0.86,0.9760000000000001,0.9715000000000001,0.9746568109820487
0.859,0.9760000000000001,0.9715000000000001,0.9746568109820487
0.858,0.9790000000000001,0.9730000000000001,0.9778247096092926
0.857,0.9790000000000001,0.9730000000000001,0.9778247096092926
0.856,0.9780000000000001,0.9725,0.9767932489451477
0.855,0.9800000000000001,0.9720000000000001,0.9778481012658229
0.854,0.981,0.9725,0.9789251844046366
0.853,0.98,0.972,0.9789251844046366
0.852,0.98,0.972,0.9789251844046366
0.851,0.98,0.9705,0.9778947368421054
0.85,0.981,0.971,0.9789473684210527
0.849,0.981,0.971,0.9789473684210527
0.848,0.981,0.971,0.9789473684210527
0.847,0.981,0.971,0.9789473684210527
0.846,0.981,0.9695,0.9779179810725553
0.845,0.98,0.9675,0.9779179810725553
0.844,0.98,0.9675,0.9768907563025211
0.843,0.979,0.967,0.9768907563025211
0.842,0.98,0.9675,0.9779411764705883
0.841,0.98,0.9675,0.9769150052465898
0.84,0.979,0.9764999999999999,0.9790136411332635
0.839,0.981,0.9775,0.9800629590766003
0.838,0.98,0.9770000000000001,0.979035639412998
0.837,0.98,0.9755,0.979035639412998
0.836,0.981,0.976,0.9811320754716982
0.835,0.983,0.9754999999999999,0.9811518324607331
0.834,0.982,0.9734999999999999,0.9801255230125524
0.833,0.982,0.9734999999999999,0.9801255230125524
0.832,0.982,0.972,0.9801255230125524
0.831,0.981,0.9714999999999999,0.9791013584117033
0.83,0.981,0.9714999999999999,0.9791013584117033
0.829,0.981,0.9714999999999999,0.978079331941545
0.828,0.981,0.9714999999999999,0.978079331941545
0.827,0.981,0.9714999999999999,0.978079331941545
0.826,0.98,0.9694999999999999,0.978079331941545
0.825,0.981,0.97,0.9781021897810219
0.824,0.98,0.9695,0.9781021897810219
0.823,0.982,0.9704999999999999,0.9801876955161627
0.822,0.982,0.9704999999999999,0.9801876955161627
0.821,0.982,0.9704999999999999,0.9801876955161627
0.82,0.982,0.9704999999999999,0.9791666666666666
0.819,0.981,0.9684999999999999,0.9791666666666666
0.818,0.981,0.9684999999999999,0.9781477627471383
0.817,0.982,0.969,0.9791883454734651
0.816,0.981,0.9685,0.9791883454734651
0.815,0.981,0.9685,0.9791883454734651
0.814,0.981,0.9685,0.9781704781704782
0.813,0.982,0.969,0.9802494802494802
0.812,0.982,0.9675,0.9802494802494802
0.811,0.982,0.9675,0.9802494802494802
0.81,0.982,0.9675,0.9792315680166147
0.809,0.982,0.9675,0.9792315680166147
0.808,0.982,0.9675,0.9792315680166147
0.807,0.982,0.9675,0.9792315680166147
0.806,0.983,0.968,0.980269989615784
0.805,0.983,0.968,0.980269989615784
0.804,0.982,0.966,0.980269989615784
0.803,0.982,0.9644999999999999,0.979253112033195
0.802,0.982,0.9629999999999999,0.979253112033195
0.801,0.984,0.964,0.9792746113989637
0.8,0.985,0.9644999999999999,0.9813471502590674
0.799,0.985,0.9644999999999999,0.9813471502590674
0.798,0.985,0.9644999999999999,0.9813471502590674
0.797,0.984,0.964,0.9813471502590674
0.796,0.984,0.964,0.9813471502590674
0.795,0.983,0.962,0.9803312629399585
0.794,0.983,0.962,0.9803312629399585
0.793,0.982,0.9615,0.9793174767321613
0.792,0.982,0.9615,0.9793174767321613
0.791,0.982,0.96,0.9783057851239669
0.79,0.981,0.9595,0.9783057851239669
0.789,0.981,0.9595,0.9783057851239669
0.788,0.981,0.9595,0.9783057851239669
0.787,0.98,0.959,0.977296181630547
0.786,0.98,0.959,0.977296181630547
0.785,0.98,0.9575,0.977296181630547
0.784,0.98,0.9575,0.977296181630547
0.783,0.98,0.9575,0.9762886597938144
0.782,0.98,0.9575,0.9762886597938144
0.781,0.98,0.9575,0.9762886597938144
0.78,0.98,0.9575,0.9762886597938144
0.779,0.98,0.9575,0.9762886597938144
0.778,0.979,0.957,0.9762886597938144
0.777,0.979,0.957,0.9762886597938144
0.776,0.979,0.957,0.9762886597938144
0.775,0.979,0.957,0.9762886597938144
0.774,0.979,0.957,0.9752832131822863
0.773,0.978,0.9564999999999999,0.9752832131822863
0.772,0.978,0.9564999999999999,0.9752832131822863
0.771,0.978,0.9564999999999999,0.9752832131822863
0.77,0.978,0.9564999999999999,0.9752832131822863
0.769,0.978,0.9564999999999999,0.9752832131822863
0.768,0.978,0.9564999999999999,0.9752832131822863
0.767,0.978,0.9564999999999999,0.9752832131822863
0.766,0.978,0.9564999999999999,0.9752832131822863
0.765,0.978,0.9564999999999999,0.9752832131822863
0.764,0.978,0.9564999999999999,0.9752832131822863
0.763,0.978,0.9564999999999999,0.9752832131822863
0.762,0.98,0.9574999999999999,0.9753086419753086
0.761,0.98,0.9574999999999999,0.9753086419753086
0.76,0.979,0.957,0.9753086419753086
0.759,0.979,0.9554999999999999,0.9753086419753086
0.758,0.979,0.954,0.9743062692702981
0.757,0.979,0.954,0.9743062692702981
0.756,0.979,0.954,0.9743062692702981
0.755,0.98,0.9545,0.9763617677286742
0.754,0.98,0.964,0.9773895169578622
0.753,0.979,0.9634999999999999,0.9773895169578622
0.752,0.979,0.9634999999999999,0.9773895169578622
0.751,0.979,0.9634999999999999,0.9763860369609856
0.75,0.981,0.9644999999999999,0.9774127310061601
0.749,0.981,0.963,0.9774127310061601
0.748,0.981,0.963,0.9774127310061601
0.747,0.982,0.9634999999999999,0.9794661190965093
0.746,0.982,0.962,0.9794661190965093
0.745,0.982,0.962,0.9794661190965093
0.744,0.982,0.962,0.9794661190965093
0.743,0.982,0.962,0.9794661190965093
0.742,0.982,0.9604999999999999,0.9784615384615385
0.741,0.982,0.97,0.9794871794871794
0.74,0.981,0.968,0.9794871794871794
0.739,0.981,0.968,0.9794871794871794
0.738,0.981,0.968,0.978483606557377
0.737,0.981,0.968,0.978483606557377
0.736,0.981,0.978,0.9805327868852459
0.735,0.981,0.9764999999999999,0.9805327868852459
0.734,0.98,0.976,0.9805327868852459
0.733,0.98,0.976,0.9805327868852459
0.732,0.98,0.976,0.9795291709314227
0.731,0.98,0.976,0.9795291709314227
0.73,0.98,0.976,0.9795291709314227
0.729,0.982,0.977,0.9805527123848515
0.728,0.982,0.977,0.9805527123848515
0.727,0.982,0.977,0.9805527123848515
0.726,0.985,0.988,0.984646878198567
0.725,0.985,0.988,0.984646878198567
