threshold,total,goods,bads,profit,n_total,n_goods,n_bads,n_profit
0.999,1383,1349,34,73920,0.2781017494470139,0.29409199912797035,0.08808290155440414,0.6895522388059702
0.998,1924,1869,55,94520,0.3868892016891213,0.40745585349901897,0.14248704663212436,0.8817164179104477
0.997,2261,2185,76,98800,0.4546551377438166,0.4763461957706562,0.19689119170984457,0.9216417910447762
0.996,2530,2440,90,105200,0.5087472350693746,0.5319380858949204,0.23316062176165803,0.9813432835820896
0.995,2717,2615,102,107200,0.5463502915745023,0.5700893830390233,0.26424870466321243,1.0
0.994,2878,2763,115,106040,0.5787251156243716,0.6023544800523217,0.2979274611398964,0.9891791044776119
0.993,3014,2888,126,105040,0.6060727930826463,0.6296054065838238,0.32642487046632124,0.9798507462686568
0.992,3120,2982,138,100560,0.6273878946310074,0.6500981033355134,0.35751295336787564,0.9380597014925374
0.991,3219,3071,148,97680,0.6472953951337221,0.6695007630259429,0.38341968911917096,0.9111940298507463
0.99,3318,3162,156,96960,0.6672028956364368,0.6893394375408763,0.40414507772020725,0.9044776119402985
0.989,3394,3231,163,95480,0.6824854212748844,0.7043819489862655,0.422279792746114,0.8906716417910447
0.988,3451,3284,167,95720,0.6939473155037201,0.7159363418356224,0.4326424870466321,0.892910447761194
0.987,3506,3337,169,97960,0.7050070380052282,0.7274907346849793,0.4378238341968912,0.9138059701492537
0.986,3562,3390,172,99200,0.7162678463704002,0.7390451275343362,0.44559585492227977,0.9253731343283582
0.985,3611,3436,175,99880,0.7261210536899256,0.7490734684979289,0.4533678756476684,0.9317164179104478
0.984,3658,3477,181,97160,0.7355720892821235,0.7580117724002616,0.4689119170984456,0.9063432835820896
0.983,3708,3518,190,91440,0.7456263824653127,0.7669500763025943,0.49222797927461137,0.8529850746268657
0.982,3754,3560,194,90800,0.7548763321938468,0.776106387617179,0.5025906735751295,0.8470149253731343
0.981,3783,3586,197,89880,0.7607078222400965,0.7817745803357314,0.5103626943005182,0.8384328358208956
0.98,3828,3626,202,88080,0.7697566861049668,0.7904948768258121,0.5233160621761658,0.8216417910447761
0.979,3859,3655,204,88400,0.7759903478785442,0.7968170917811206,0.5284974093264249,0.8246268656716418
0.978,3892,3686,206,88880,0.7826261813794491,0.803575321560933,0.533678756476684,0.8291044776119403
0.977,3924,3712,212,84960,0.7890609290166901,0.8092435142794855,0.5492227979274611,0.7925373134328358
0.976,3946,3732,214,84560,0.7934848180172934,0.8136036625245259,0.5544041450777202,0.7888059701492537
0.975,3979,3759,220,80720,0.8001206515181982,0.8194898626553303,0.5699481865284974,0.7529850746268657
0.974,4009,3786,223,79880,0.8061532274281118,0.8253760627861347,0.5777202072538861,0.7451492537313433
0.973,4030,3806,224,80480,0.8103760305650513,0.829736211031175,0.5803108808290155,0.7507462686567165
0.972,4049,3823,226,79840,0.8141966619746632,0.8334423370394594,0.5854922279792746,0.744776119402985
0.971,4082,3852,230,78160,0.820832495475568,0.8397645519947678,0.5958549222797928,0.7291044776119403
0.97,4105,3870,235,74600,0.8254574703398351,0.8436886854153042,0.6088082901554405,0.6958955223880597
0.969,4121,3884,237,73720,0.8286748441584557,0.8467407891868324,0.6139896373056994,0.6876865671641791
0.968,4143,3905,238,74400,0.8330987331590589,0.8513189448441247,0.616580310880829,0.6940298507462687
0.967,4165,3925,240,74000,0.8375226221596622,0.855679093089165,0.6217616580310881,0.6902985074626866
0.966,4179,3935,244,70800,0.8403378242509552,0.8578591672116852,0.6321243523316062,0.6604477611940298
0.965,4195,3949,246,69920,0.8435551980695757,0.8609112709832134,0.6373056994818653,0.6522388059701493
0.964,4203,3957,246,70560,0.845163884978886,0.8626553302812295,0.6373056994818653,0.6582089552238806
