threshold,total,goods,bads,profit,n_total,n_goods,n_bads,n_profit
0.999,0,0,0,0,0.0,0.0,0.0,0.0
0.998,0,0,0,0,0.0,0.0,0.0,0.0
0.997,0,0,0,0,0.0,0.0,0.0,0.0
0.996,0,0,0,0,0.0,0.0,0.0,0.0
0.995,0,0,0,0,0.0,0.0,0.0,0.0
0.994,0,0,0,0,0.0,0.0,0.0,0.0
0.993,0,0,0,0,0.0,0.0,0.0,0.0
0.992,0,0,0,0,0.0,0.0,0.0,0.0
0.991,0,0,0,0,0.0,0.0,0.0,0.0
0.99,0,0,0,0,0.0,0.0,0.0,0.0
0.989,0,0,0,0,0.0,0.0,0.0,0.0
0.988,0,0,0,0,0.0,0.0,0.0,0.0
0.987,0,0,0,0,0.0,0.0,0.0,0.0
0.986,0,0,0,0,0.0,0.0,0.0,0.0
0.985,0,0,0,0,0.0,0.0,0.0,0.0
0.984,0,0,0,0,0.0,0.0,0.0,0.0
0.983,0,0,0,0,0.0,0.0,0.0,0.0
0.982,0,0,0,0,0.0,0.0,0.0,0.0
0.981,0,0,0,0,0.0,0.0,0.0,0.0
0.98,0,0,0,0,0.0,0.0,0.0,0.0
0.979,0,0,0,0,0.0,0.0,0.0,0.0
0.978,0,0,0,0,0.0,0.0,0.0,0.0
0.977,0,0,0,0,0.0,0.0,0.0,0.0
0.976,0,0,0,0,0.0,0.0,0.0,0.0
0.975,0,0,0,0,0.0,0.0,0.0,0.0
0.974,0,0,0,0,0.0,0.0,0.0,0.0
0.973,0,0,0,0,0.0,0.0,0.0,0.0
0.972,0,0,0,0,0.0,0.0,0.0,0.0
0.971,0,0,0,0,0.0,0.0,0.0,0.0
0.97,0,0,0,0,0.0,0.0,0.0,0.0
0.969,0,0,0,0,0.0,0.0,0.0,0.0
0.968,0,0,0,0,0.0,0.0,0.0,0.0
0.967,0,0,0,0,0.0,0.0,0.0,0.0
0.966,218,214,4,13120,0.04383671827870501,0.046653586221931546,0.010362694300518135,0.109296901032989
0.965,790,780,10,52400,0.1588578322943897,0.17004578155657293,0.025906735751295335,0.43652115961346216
0.964,1124,1108,16,72640,0.2260205107580937,0.24155221277523437,0.04145077720207254,0.6051316227924025
0.963,1164,1147,17,74760,0.23406394530464508,0.250054501853063,0.04404145077720207,0.6227924025324891
0.962,1242,1223,19,78840,0.24974864267042027,0.26662306518421625,0.04922279792746114,0.6567810729756748
0.961,1333,1310,23,81800,0.26804745626382465,0.2855897100501417,0.05958549222797927,0.6814395201599467
0.96,1446,1419,27,86520,0.2907701588578323,0.30935251798561153,0.06994818652849741,0.720759746751083
0.959,1459,1432,27,87560,0.2933842750854615,0.3121866143448877,0.06994818652849741,0.7294235254915028
0.958,1492,1462,30,86960,0.30002010858636635,0.3187268367124482,0.07772020725388601,0.7244251916027991
0.957,1571,1537,34,88960,0.31590589181580536,0.33507739263134945,0.08808290155440414,0.7410863045651449
0.956,1607,1573,34,91840,0.3231449829077016,0.34292565947242204,0.08808290155440414,0.7650783072309231
0.955,1808,1766,42,99280,0.3635632415041223,0.38500109003706123,0.10880829015544041,0.8270576474508498
0.954,1974,1921,53,100680,0.39694349487231045,0.41879223893612383,0.13730569948186527,0.8387204265244919
0.953,2001,1947,54,101760,0.40237281319123264,0.4244604316546763,0.13989637305699482,0.8477174275241586
0.952,2082,2022,60,101760,0.4186607681479992,0.4408109875735775,0.15544041450777202,0.8477174275241586
0.951,2180,2118,62,107440,0.43836718278705006,0.4617396991497711,0.16062176165803108,0.895034988337221
0.95,2234,2168,66,107440,0.4492258194248944,0.47264006976237194,0.17098445595854922,0.895034988337221
0.949,2490,2409,81,111720,0.5007038005228233,0.5251798561151079,0.20984455958549222,0.9306897700766411
0.948,2559,2477,82,116160,0.5145787251156244,0.540004360148245,0.21243523316062177,0.967677440853049
0.947,2864,2763,101,120040,0.5759099135330786,0.6023544800523217,0.2616580310880829,1.0
0.946,3104,2972,132,105760,0.6241705208123869,0.6479180292129932,0.34196891191709844,0.8810396534488504
0.945,3139,3004,135,105320,0.6312085260406194,0.6548942664050578,0.34974093264248707,0.8773742085971343
0.944,3148,3013,135,106040,0.6330182988135934,0.6568563331153259,0.34974093264248707,0.8833722092635788
0.943,3180,3041,139,104280,0.6394530464508346,0.6629605406583824,0.3601036269430052,0.8687104298567144
0.942,3224,3083,141,105640,0.6483008244520411,0.6721168519729671,0.36528497409326427,0.8800399866711096
0.941,3275,3128,147,103240,0.658556203498894,0.6819271855243079,0.38082901554404147,0.8600466511162945
0.94,3293,3145,148,103600,0.6621757490448421,0.6856333115325921,0.38341968911917096,0.8630456514495168
0.939,3426,3262,164,96960,0.6889201689121255,0.711140178766078,0.42487046632124353,0.8077307564145285
0.938,3508,3341,167,100280,0.7054092097325558,0.7283627643339874,0.4326424870466321,0.8353882039320226
0.937,3554,3385,169,101800,0.7146591594610899,0.7379550904730761,0.4378238341968912,0.8480506497834055
0.936,3625,3453,172,104240,0.7289362557812186,0.7527795945062132,0.44559585492227977,0.8683772075974675
0.935,3682,3504,178,102320,0.7403981500100543,0.7638979725310661,0.46113989637305697,0.8523825391536155
0.934,3720,3537,183,99960,0.7480394128292781,0.7710922171353826,0.4740932642487047,0.8327224258580473
0.933,3864,3665,199,94200,0.7769957771968631,0.7989971659036407,0.5155440414507773,0.7847384205264911
0.932,3864,3665,199,94200,0.7769957771968631,0.7989971659036407,0.5155440414507773,0.7847384205264911
0.931,4007,3785,222,80800,0.8057510557007842,0.8251580553738828,0.5751295336787565,0.6731089636787737
0.93,4045,3819,226,79520,0.813392318520008,0.8325703073904512,0.5854922279792746,0.6624458513828724
0.929,4058,3830,228,78400,0.8160064347476372,0.8349683889252234,0.5906735751295337,0.6531156281239587
0.928,4162,3928,234,80240,0.8369193645686708,0.856333115325921,0.6062176165803109,0.6684438520493169
0.927,4170,3935,235,79800,0.8385280514779812,0.8578591672116852,0.6088082901554405,0.6647784071976008
0.926,4288,4043,245,78440,0.8622561833903076,0.881403967734903,0.6347150259067358,0.6534488503832055
0.925,4309,4060,249,75800,0.8664789865272471,0.8851100937431873,0.6450777202072538,0.631456181272909
0.924,4310,4061,249,75880,0.8666800723909109,0.8853281011554393,0.6450777202072538,0.6321226257914029
0.923,4375,4111,264,64880,0.8797506535290569,0.8962284717680401,0.6839378238341969,0.5404865044985006
0.922,4379,4113,266,63040,0.8805549969837121,0.8966644865925442,0.689119170984456,0.5251582805731423
0.921,4385,4117,268,61360,0.8817615121656948,0.8975365162415522,0.694300518134715,0.5111629456847717
0.92,4392,4124,268,61920,0.8831691132113413,0.8990625681273163,0.694300518134715,0.5158280573142285
0.919,4407,4137,270,60960,0.886185401166298,0.9018966644865926,0.6994818652849741,0.5078307230923026
0.918,4409,4138,271,60040,0.8865875728936256,0.9021146718988445,0.7020725388601037,0.5001666111296235
0.917,4457,4180,277,57400,0.8962396943494872,0.9112709832134293,0.7176165803108808,0.4781739420193269
0.916,4473,4195,278,57600,0.8994570681681078,0.9145410943972095,0.7202072538860104,0.47984005331556145
0.915,4481,4201,280,56080,0.901065755077418,0.9158491388707216,0.7253886010362695,0.46717760746417863
0.914,4491,4207,284,52560,0.9030766137140559,0.9171571833442337,0.7357512953367875,0.43785404865044986
0.913,4492,4208,284,52640,0.9032776995777196,0.9173751907564858,0.7357512953367875,0.4385204931689437
0.912,4494,4210,284,52800,0.9036798713050472,0.9178112055809897,0.7357512953367875,0.43985338220593134
0.911,4502,4216,286,51280,0.9052885582143575,0.9191192500545019,0.7409326424870466,0.42719093635454847
0.91,4518,4229,289,49320,0.9085059320329781,0.921953346413778,0.7487046632124352,0.41086304565144954
0.909,4528,4238,290,49040,0.9105167906696159,0.9239154131240462,0.7512953367875648,0.4085304898367211
0.908,4580,4279,301,41320,0.9209732555801328,0.9328537170263789,0.7797927461139896,0.344218593802066
0.907,4580,4279,301,41320,0.9209732555801328,0.9328537170263789,0.7797927461139896,0.344218593802066
0.906,4615,4311,304,40880,0.9280112608083652,0.9398299542184434,0.7875647668393783,0.3405531489503499
0.905,4615,4311,304,40880,0.9280112608083652,0.9398299542184434,0.7875647668393783,0.3405531489503499
0.904,4619,4313,306,39040,0.9288156042630203,0.9402659690429475,0.7927461139896373,0.3252249250249917
0.903,4620,4314,306,39120,0.9290166901266841,0.9404839764551994,0.7927461139896373,0.3258913695434855
0.902,4621,4315,306,39200,0.9292177759903478,0.9407019838674515,0.7927461139896373,0.32655781406197937
0.901,4623,4316,307,38280,0.9296199477176754,0.9409199912797035,0.7953367875647669,0.31889370209930024
0.9,4625,4316,309,36280,0.930022119445003,0.9409199912797035,0.8005181347150259,0.30223258913695433
0.899,4627,4318,309,36440,0.9304242911723306,0.9413560061042076,0.8005181347150259,0.303565478173942
0.898,4630,4321,309,36680,0.9310275487633219,0.9420100283409636,0.8005181347150259,0.3055648117294235
0.897,4636,4324,312,33920,0.9322340639453046,0.9426640505777196,0.8082901554404145,0.28257247584138623
0.896,4639,4327,312,34160,0.932837321536296,0.9433180728144757,0.8082901554404145,0.2845718093968677
0.895,4654,4338,316,31040,0.9358536094912527,0.9457161543492478,0.8186528497409327,0.2585804731756081
0.894,4655,4339,316,31120,0.9360546953549166,0.9459341617614999,0.8186528497409327,0.25924691769410196
0.893,4674,4353,321,27240,0.9398753267645285,0.9489862655330281,0.8316062176165803,0.22692435854715096
0.892,4681,4360,321,27800,0.941282927810175,0.9505123174187923,0.8316062176165803,0.2315894701766078
0.891,4681,4360,321,27800,0.941282927810175,0.9505123174187923,0.8316062176165803,0.2315894701766078
0.89,4706,4382,324,26560,0.9463100744017695,0.9553084804883366,0.8393782383419689,0.22125958013995334
0.889,4714,4390,324,27200,0.9479187613110799,0.9570525397863527,0.8393782383419689,0.22659113628790403
0.888,4714,4390,324,27200,0.9479187613110799,0.9570525397863527,0.8393782383419689,0.22659113628790403
0.887,4714,4390,324,27200,0.9479187613110799,0.9570525397863527,0.8393782383419689,0.22659113628790403
0.886,4728,4400,328,24000,0.9507339634023728,0.9592326139088729,0.8497409326424871,0.19993335554815062
0.885,4728,4400,328,24000,0.9507339634023728,0.9592326139088729,0.8497409326424871,0.19993335554815062
0.884,4728,4400,328,24000,0.9507339634023728,0.9592326139088729,0.8497409326424871,0.19993335554815062
0.883,4747,4417,330,23360,0.9545545948119847,0.9629387399171572,0.8549222797927462,0.19460179940019992
0.882,4749,4418,331,22440,0.9549567665393123,0.9631567473294091,0.8575129533678757,0.18693768743752082
0.881,4750,4419,331,22520,0.955157852402976,0.9633747547416612,0.8575129533678757,0.18760413195601466
0.88,4751,4420,331,22600,0.9553589382666399,0.9635927621539132,0.8575129533678757,0.1882705764745085
0.879,4751,4420,331,22600,0.9553589382666399,0.9635927621539132,0.8575129533678757,0.1882705764745085
0.878,4754,4423,331,22840,0.9559621958576312,0.9642467843906692,0.8575129533678757,0.19026991002999
0.877,4758,4427,331,23160,0.9567665393122864,0.9651188140396774,0.8575129533678757,0.19293568810396536
0.876,4758,4427,331,23160,0.9567665393122864,0.9651188140396774,0.8575129533678757,0.19293568810396536
0.875,4758,4427,331,23160,0.9567665393122864,0.9651188140396774,0.8575129533678757,0.19293568810396536
0.874,4758,4427,331,23160,0.9567665393122864,0.9651188140396774,0.8575129533678757,0.19293568810396536
0.873,4761,4429,332,22320,0.9573697969032777,0.9655548288641814,0.8601036269430051,0.18593802065978007
0.872,4761,4429,332,22320,0.9573697969032777,0.9655548288641814,0.8601036269430051,0.18593802065978007
