threshold,total,goods,bads,profit,n_total,n_goods,n_bads,n_profit
0.99,3318,3162,156,96960,0.6672028956364368,0.6893394375408763,0.40414507772020725,1.0
0.98,3828,3626,202,88080,0.7697566861049668,0.7904948768258121,0.5233160621761658,0.9084158415841584
0.97,4105,3870,235,74600,0.8254574703398351,0.8436886854153042,0.6088082901554405,0.7693894389438944
0.96,4252,3997,255,64760,0.8550170922984114,0.8713756267713102,0.6606217616580311,0.6679042904290429
0.95,4349,4077,272,54160,0.8745224210737985,0.8888162197514715,0.7046632124352331,0.5585808580858086
0.94,4430,4142,288,43360,0.890810376030565,0.9029867015478527,0.7461139896373057,0.4471947194719472
0.93,4504,4209,295,41720,0.9056907299416851,0.9175931981687377,0.7642487046632125,0.43028052805280526
0.92,4555,4251,304,36080,0.9159461089885381,0.9267495094833225,0.7875647668393783,0.3721122112211221
0.91,4589,4281,308,34480,0.9227830283531068,0.9332897318508829,0.7979274611398963,0.3556105610561056
0.9,4621,4307,314,30560,0.9292177759903478,0.9389579245694354,0.8134715025906736,0.31518151815181517
0.89,4647,4331,316,30480,0.9344460084456063,0.9441901024634838,0.8186528497409327,0.31435643564356436
0.88,4669,4348,321,26840,0.9388698974462095,0.947896228471768,0.8316062176165803,0.2768151815181518
0.87,4696,4368,328,21440,0.9442992157651318,0.9522563767168084,0.8497409326424871,0.22112211221122113
0.86,4720,4388,332,19040,0.9491252764930626,0.9566165249618487,0.8601036269430051,0.19636963696369636
